region,age,all,respondents,kadry_vysshej_kvalifikacii,vysshee,magistratura,specialitet,bakalavriat,nepolnoe_vysshee,srednee_professionalnoe,specialist_srednego_zvena,kvalificirovannyj_rabochij,srednee,osnovnoe,nachalnoe,doshkolnoe,ne_imejushhie_obrazovanija,iz_nih_negramotnye,ne_ukazavshie_uroven_obrazovanija
Российская Федерация,6-9,6921170,5897232,-,-,-,-,-,-,-,-,-,-,-,-,4554368,1342864,13451,1023938
Российская Федерация,10-14,8160372,7147709,-,-,-,-,-,-,-,-,-,-,-,5913902,1134502,99305,3399,1012663
Российская Федерация,15-17,4470177,3869578,-,-,-,-,-,-,2216,-,2216,790729,2296580,752533,919,26601,2367,600599
Российская Федерация,18-19 ,3093127,2604635,-,-,-,-,-,-,417076,270887,146189,1591160,556931,32372,243,6853,2057,488492
Российская Федерация,20-24 ,7750398,6135245,3387,1088653,67696,213480,807477,226576,2123475,1402477,720998,2058590,568911,49963,530,15160,5896,1615153
Российская Федерация,25-29 ,7983625,6463280,64297,2447828,327468,1011482,1108878,275554,2303902,1517988,785914,908865,404910,40643,323,16958,7103,1520345
Российская Федерация,30-34 ,12156975,9799177,142690,3766438,269157,2450237,1047044,342998,3564381,2312783,1251598,1300637,589337,67444,999,24253,9613,2357798
Российская Федерация,35-39 ,13043984,10511603,175779,3962218,260942,2732388,968888,332823,3884975,2503063,1381912,1405257,651269,73915,886,24481,9156,2532381
Российская Федерация,40-44 ,11653990,9502079,160029,3233567,217730,2272594,743243,268746,3756048,2402488,1353560,1373404,629902,58618,762,21003,7556,2151911
Российская Федерация,45-49 ,10413632,8609297,138654,2586804,175428,1853844,557532,213871,3741322,2395824,1345498,1324398,541395,44920,689,17244,6175,1804335
Российская Федерация,50-54 ,9209284,7673771,118025,1975042,132231,1478694,364117,176563,3688739,2368364,1320375,1215661,449757,35917,248,13819,4851,1535513
Российская Федерация,55-59 ,9670775,8171093,124531,1836485,119990,1415131,301364,160931,4067286,2640882,1426404,1440251,489188,38767,234,13420,4637,1499682
Российская Федерация,60-64 ,10648786,9164521,135722,1790439,107710,1399837,282892,151731,4582093,3017325,1564768,1810081,615090,66118,225,13022,4168,1484265
Российская Федерация,65-69 ,9024308,7753744,120274,1417098,75180,1111114,230804,119250,3754596,2506423,1248173,1595459,658068,78253,183,10563,3094,1270564
Российская Федерация,70 и более,14817627,12615034,198376,2018148,100571,1589333,328244,164899,4757311,3177952,1579359,2671309,1921541,845070,678,37702,7629,2202593
Центральный федеральный округ,6-9,1620843,1298317,-,-,-,-,-,-,-,-,-,-,-,-,995151,303166,2791,322526
Центральный федеральный округ,10-14,1925049,1591527,-,-,-,-,-,-,-,-,-,-,-,1387100,182772,21655,641,333522
Центральный федеральный округ,15-17,1087412,887609,-,-,-,-,-,-,892,-,892,184419,516551,179424,575,5748,448,199803
Центральный федеральный округ,18-19 ,804718,638741,-,-,-,-,-,-,98455,60994,37461,404886,124778,8989,186,1447,313,165977
Центральный федеральный округ,20-24 ,2182409,1608364,593,336723,23252,60762,252709,70916,500938,315431,185507,536764,145485,13420,366,3159,1019,574045
Центральный федеральный округ,25-29 ,2154593,1641476,17261,724953,106618,288685,329650,80147,539280,340504,198776,174244,93424,8927,225,3015,1270,513117
Центральный федеральный округ,30-34 ,3331405,2540287,39459,1122097,93104,698395,330598,102515,854610,535142,319468,258697,141222,16451,783,4453,1731,791118
Центральный федеральный округ,35-39 ,3656214,2782933,48925,1188449,92235,779909,316305,103921,968743,601447,367296,289659,159376,18657,716,4487,1510,873281
Центральный федеральный округ,40-44 ,3303629,2547011,46995,990889,78463,663113,249313,88308,964511,595906,368605,286030,151583,14280,648,3767,1184,756618
Центральный федеральный округ,45-49 ,2960884,2310051,41808,803107,63605,549300,190202,73220,967606,600512,367094,279115,130679,10869,579,3068,974,650833
Центральный федеральный округ,50-54 ,2634054,2070477,36898,625493,48511,447737,129245,61604,959157,596145,363012,262483,113846,8373,168,2455,806,563577
Центральный федеральный округ,55-59 ,2734713,2173618,38639,585345,44978,431631,108736,57085,1048160,658284,389876,311527,121294,9002,167,2399,740,561095
Центральный федеральный округ,60-64 ,2991962,2427691,42255,569327,41339,426492,101496,53994,1194336,758589,435747,407017,146269,12031,151,2311,653,564271
Центральный федеральный округ,65-69 ,2548943,2067032,37299,451441,29773,338906,82762,43300,995538,640413,355125,373411,150480,13575,137,1851,512,481911
Центральный федеральный округ,70 и более,4516904,3632777,65988,670262,42734,504441,123087,65533,1393125,888828,504297,740259,502064,188002,400,7144,1016,884127
Белгородская область,6-9,69892,57150,-,-,-,-,-,-,-,-,-,-,-,-,45130,12020,87,12742
Белгородская область,10-14,84516,71113,-,-,-,-,-,-,-,-,-,-,-,56610,13631,872,22,13403
Белгородская область,15-17,45278,39519,-,-,-,-,-,-,-,-,-,9118,23729,6439,3,230,16,5759
Белгородская область,18-19 ,30231,25861,-,-,-,-,-,-,5197,3414,1783,15113,5345,155,-,51,11,4370
Белгородская область,20-24 ,69665,58768,-,11376,594,2993,7789,1896,23960,16214,7746,17372,3892,162,-,110,28,10897
Белгородская область,25-29 ,81160,66637,723,27736,3206,13831,10699,1939,26475,17936,8539,6885,2595,149,-,135,60,14523
Белгородская область,30-34 ,122707,101550,1592,41419,2276,28973,10170,2675,41060,27403,13657,10487,3900,231,-,186,74,21157
Белгородская область,35-39 ,130748,110372,1821,42429,2219,30819,9391,2604,46647,31139,15508,12012,4435,247,-,177,58,20376
Белгородская область,40-44 ,117898,99307,1539,32520,1650,24032,6838,2044,46288,30789,15499,12056,4500,194,-,166,60,18591
Белгородская область,45-49 ,107763,91787,1285,25121,1307,18830,4984,1662,47401,31519,15882,12135,3925,136,-,122,47,15976
Белгородская область,50-54 ,95763,82980,1030,18395,871,14554,2970,1299,47097,31313,15784,11564,3375,116,-,104,34,12783
Белгородская область,55-59 ,108315,95117,1155,18499,811,14811,2877,1249,55184,36918,18266,14705,4073,158,-,94,26,13198
Белгородская область,60-64 ,124214,109182,1272,18545,798,14918,2829,1284,63575,42808,20767,18943,4989,456,-,118,34,15032
Белгородская область,65-69 ,101767,90254,1129,14703,608,11640,2455,1009,50314,34337,15977,17180,5387,463,-,69,18,11513
Белгородская область,70 и более,170930,149977,1763,19450,777,15171,3502,1247,58373,40151,18222,33081,24217,11456,-,390,52,20953
Брянская область,6-9,50819,43911,-,-,-,-,-,-,-,-,-,-,-,-,34157,9754,144,6908
Брянская область,10-14,63031,56975,-,-,-,-,-,-,-,-,-,-,-,45854,10385,736,94,6056
Брянская область,15-17,34682,31277,-,-,-,-,-,-,5,-,5,6183,18985,5864,2,238,58,3405
Брянская область,18-19 ,22349,19999,-,-,-,-,-,-,3419,2190,1229,11828,4458,208,-,86,29,2350
Брянская область,20-24 ,52146,44675,-,8267,711,1921,5635,1342,18212,12189,6023,13345,3110,227,2,170,73,7471
Брянская область,25-29 ,61138,53074,428,19792,2082,9847,7863,1408,22015,14554,7461,6516,2545,208,2,160,65,8064
Брянская область,30-34 ,90769,77852,928,27913,1263,20070,6580,1630,32281,21187,11094,10519,3987,375,1,218,82,12917
Брянская область,35-39 ,96051,82158,1174,27784,1169,20832,5783,1435,34556,22569,11987,12116,4476,372,3,242,87,13893
Брянская область,40-44 ,88383,75890,956,21771,1057,16488,4226,1216,34466,22477,11989,12391,4609,312,1,168,43,12493
Брянская область,45-49 ,82956,72656,812,17712,834,13698,3180,995,35693,23256,12437,12720,4360,224,-,140,56,10300
Брянская область,50-54 ,78796,69155,678,14278,657,11563,2058,861,36606,23851,12755,12634,3797,180,-,121,47,9641
Брянская область,55-59 ,85111,75031,808,13945,667,11496,1782,779,39848,26319,13529,15362,4040,156,1,92,38,10080
Брянская область,60-64 ,96346,86216,792,13517,494,11163,1860,728,45077,30116,14961,20121,5509,388,1,83,28,10130
Брянская область,65-69 ,79159,70774,623,10554,304,8847,1403,528,34906,23865,11041,17329,6199,566,-,69,14,8385
Брянская область,70 и более,131313,116918,1008,14997,426,12387,2184,716,39519,27288,12231,25985,21429,12914,11,339,53,14395
Владимирская область,6-9,55320,48402,-,-,-,-,-,-,-,-,-,-,-,-,37216,11186,107,6918
Владимирская область,10-14,66632,59806,-,-,-,-,-,-,-,-,-,-,-,50796,8082,928,28,6826
Владимирская область,15-17,38102,34080,-,-,-,-,-,-,40,-,40,7410,19459,6948,3,220,25,4022
Владимирская область,18-19 ,26744,23642,-,-,-,-,-,-,4957,3139,1818,13308,4995,330,-,52,11,3102
Владимирская область,20-24 ,59008,49922,2,7886,567,1641,5678,1697,20671,13356,7315,15216,3932,415,-,103,32,9086
Владимирская область,25-29 ,63813,53736,656,18031,2077,7622,8332,1951,21976,14199,7777,7559,3056,391,-,116,51,10077
Владимирская область,30-34 ,102487,86571,1361,29188,1746,19371,8071,2424,35385,22642,12743,12046,5214,788,-,165,57,15916
Владимирская область,35-39 ,113840,96300,1634,30887,1548,21861,7478,2306,40267,25615,14652,14099,6034,899,-,174,44,17540
Владимирская область,40-44 ,104235,89306,1304,25031,1358,17948,5725,1998,40464,25407,15057,13767,5877,699,-,166,60,14929
Владимирская область,45-49 ,97487,84085,1088,20994,1120,15357,4517,1607,40851,25664,15187,13629,5262,555,-,99,34,13402
Владимирская область,50-54 ,87127,75694,898,16264,897,12370,2997,1276,39721,25137,14584,12631,4403,409,-,92,45,11433
Владимирская область,55-59 ,97042,84915,1033,16844,979,13182,2683,1263,44461,28444,16017,16023,4753,467,-,71,20,12127
Владимирская область,60-64 ,110759,98774,1186,17623,798,14228,2597,1208,50457,32465,17992,21263,6411,572,-,54,15,11985
Владимирская область,65-69 ,96928,86658,1010,14178,527,11361,2290,970,42142,27578,14564,20376,7253,685,-,44,18,10270
Владимирская область,70 и более,163842,144602,1746,20519,702,16676,3141,1293,52136,34951,17185,34217,24913,9612,-,166,34,19240
Воронежская область,6-9,94596,86923,-,-,-,-,-,-,-,-,-,-,-,-,67784,19139,198,7673
Воронежская область,10-14,112662,106619,-,-,-,-,-,-,-,-,-,-,-,83737,21467,1415,57,6043
Воронежская область,15-17,63390,60148,-,-,-,-,-,-,-,-,-,13434,35669,10693,5,347,29,3242
Воронежская область,18-19 ,45746,43500,-,-,-,-,-,-,5961,3810,2151,28347,8771,352,-,69,22,2246
Воронежская область,20-24 ,115687,106267,251,20334,1586,4023,14725,3830,32669,21456,11213,38673,9819,493,-,198,85,9420
Воронежская область,25-29 ,127116,115646,1423,48294,6833,20334,21127,4566,38317,24856,13461,15019,7289,517,-,221,86,11470
Воронежская область,30-34 ,192716,174427,2745,71128,5304,46390,19434,5331,59519,38412,21107,23343,11231,825,-,305,121,18289
Воронежская область,35-39 ,197543,179782,3085,69002,4531,48214,16257,4887,64257,41401,22856,25760,11692,810,-,289,94,17761
Воронежская область,40-44 ,173162,158774,2694,52613,3442,37497,11674,3707,61833,39349,22484,25648,11403,646,-,230,72,14388
Воронежская область,45-49 ,158873,146808,2284,42056,2721,31061,8274,2995,63152,40437,22715,25924,9717,487,-,193,61,12065
Воронежская область,50-54 ,146059,135567,1919,32556,1963,24880,5713,2598,63600,40529,23071,25196,9163,357,-,178,59,10492
Воронежская область,55-59 ,160793,150090,2036,31948,1828,25009,5111,2522,71598,46090,25508,31304,10058,434,-,190,56,10703
Воронежская область,60-64 ,183922,172537,2194,32776,1734,25830,5212,2423,81792,53376,28416,39877,12584,750,-,141,34,11385
Воронежская область,65-69 ,152996,143203,1958,25891,1187,20384,4320,1922,65770,43424,22346,34436,12224,896,-,106,36,9793
Воронежская область,70 и более,276041,258370,3078,37678,1605,29945,6128,2709,84223,55442,28781,63412,45573,20988,-,709,96,17671
Ивановская область,6-9,40264,35390,-,-,-,-,-,-,-,-,-,-,-,-,27609,7781,79,4874
Ивановская область,10-14,47712,43392,-,-,-,-,-,-,-,-,-,-,-,35611,7265,516,10,4320
Ивановская область,15-17,26268,23925,-,-,-,-,-,-,-,-,-,4810,15236,3713,2,164,21,2343
Ивановская область,18-19 ,18795,16832,-,-,-,-,-,-,2785,1783,1002,10272,3687,54,-,34,10,1963
Ивановская область,20-24 ,40038,34609,1,6035,471,1137,4427,1057,13166,8807,4359,11621,2516,114,3,96,33,5429
Ивановская область,25-29 ,41867,36143,268,12402,1357,5253,5792,1282,15002,9679,5323,5062,1836,167,4,120,54,5724
Ивановская область,30-34 ,68141,58646,602,19457,1068,13546,4843,1568,24749,15593,9156,8651,3215,200,7,197,74,9495
Ивановская область,35-39 ,74942,64719,777,20513,976,15244,4293,1557,27788,17371,10417,9867,3768,231,5,213,74,10223
Ивановская область,40-44 ,70347,60854,709,17159,859,13098,3202,1224,27669,17357,10312,9863,3808,206,9,207,96,9493
Ивановская область,45-49 ,68823,60099,695,15325,783,11915,2627,1015,29411,18480,10931,9815,3498,171,2,167,66,8724
Ивановская область,50-54 ,62337,54827,533,12646,675,10363,1608,936,29156,18628,10528,8718,2560,128,8,142,46,7510
Ивановская область,55-59 ,66795,59921,671,12838,593,10852,1393,804,31707,20475,11232,10705,2933,156,3,104,40,6874
Ивановская область,60-64 ,74335,67598,787,12162,508,10285,1369,711,35404,23187,12217,14079,3990,371,4,90,30,6737
Ивановская область,65-69 ,67461,61816,735,10393,335,8828,1230,555,30848,20582,10266,13616,5112,478,3,76,16,5645
Ивановская область,70 и более,114298,104167,1120,15211,437,13106,1668,771,39594,26647,12947,22540,17381,7385,3,162,31,10131
Калужская область,6-9,49072,44084,-,-,-,-,-,-,-,-,-,-,-,-,33635,10449,104,4988
Калужская область,10-14,55273,50422,-,-,-,-,-,-,-,-,-,-,-,39318,10314,790,41,4851
Калужская область,15-17,30031,26975,-,-,-,-,-,-,-,-,-,6085,15534,5133,1,222,19,3056
Калужская область,18-19 ,20242,17596,-,-,-,-,-,-,3130,2064,1066,10596,3619,208,-,43,8,2646
Калужская область,20-24 ,51809,42273,1,7001,495,1744,4762,1510,16402,10747,5655,13358,3641,256,-,104,35,9536
Калужская область,25-29 ,57023,48933,378,17308,1890,7770,7648,1901,19316,12400,6916,6897,2702,316,-,115,43,8090
Калужская область,30-34 ,88110,75982,915,28270,1662,18430,8178,2349,29597,18781,10816,10161,4079,468,-,143,45,12128
Калужская область,35-39 ,93893,80688,1083,28819,1733,19762,7324,2333,32688,20588,12100,10674,4464,467,-,160,49,13205
Калужская область,40-44 ,83134,72134,932,22987,1395,16070,5522,1879,31910,20232,11678,10044,3910,374,-,98,23,11000
Калужская область,45-49 ,74996,65649,780,18106,1043,13277,3786,1416,32209,20514,11695,9563,3237,257,-,81,18,9347
Калужская область,50-54 ,67453,59516,734,14750,943,11228,2579,1251,31412,20216,11196,8391,2698,220,-,60,15,7937
Калужская область,55-59 ,72502,64632,853,14671,974,11503,2194,1173,34903,22672,12231,9853,2896,222,-,61,13,7870
Калужская область,60-64 ,81801,74262,1046,14851,874,11725,2252,1110,40238,26297,13941,12963,3672,311,-,71,22,7539
Калужская область,65-69 ,69367,63023,953,12229,674,9686,1869,857,32931,21933,10998,11706,3915,373,-,59,15,6344
Калужская область,70 и более,113734,103370,1661,18279,810,14529,2940,1122,42666,28791,13875,20952,13426,5098,-,166,25,10364
Костромская область,6-9,29604,22844,-,-,-,-,-,-,-,-,-,-,-,-,17859,4985,52,6760
Костромская область,10-14,34482,27444,-,-,-,-,-,-,-,-,-,-,-,21598,5498,348,8,7038
Костромская область,15-17,18868,14619,-,-,-,-,-,-,-,-,-,2558,9641,2341,-,79,8,4249
Костромская область,18-19 ,10280,7831,-,-,-,-,-,-,1253,823,430,4542,2009,5,-,22,10,2449
Костромская область,20-24 ,21944,16456,-,2368,135,374,1859,448,7242,4937,2305,4973,1352,17,-,56,30,5488
Костромская область,25-29 ,23938,17987,180,6064,902,2430,2732,534,8218,5528,2690,1908,981,16,-,86,45,5951
Костромская область,30-34 ,40983,30795,468,9960,511,7316,2133,681,14509,9610,4899,3353,1663,38,-,123,52,10188
Костромская область,35-39 ,47230,35514,592,11366,722,8456,2188,674,16505,10838,5667,4088,2131,28,-,130,56,11716
Костромская область,40-44 ,43564,33839,580,9882,640,7550,1692,512,16624,10703,5921,4006,2106,32,-,97,39,9725
Костромская область,45-49 ,40640,32318,542,8408,536,6580,1292,487,17031,11043,5988,4044,1686,26,-,94,44,8322
Костромская область,50-54 ,36786,29758,467,6844,390,5620,834,409,16947,11055,5892,3791,1207,22,-,71,35,7028
Костромская область,55-59 ,42414,35492,564,7152,417,6000,735,383,20538,13671,6867,5231,1531,28,-,65,27,6922
Костромская область,60-64 ,51124,43838,746,7646,399,6438,809,405,24813,17104,7709,7573,2352,246,-,57,28,7286
Костромская область,65-69 ,41507,36094,639,6297,225,5467,605,339,19624,13789,5835,6005,2815,317,-,58,29,5413
Костромская область,70 и более,65019,55329,1006,9039,248,7895,896,478,22516,16213,6303,8801,8544,4794,-,151,40,9690
Курская область,6-9,49058,40211,-,-,-,-,-,-,-,-,-,-,-,-,31406,8805,108,8847
Курская область,10-14,56627,50151,-,-,-,-,-,-,-,-,-,-,-,39118,10111,922,22,6476
Курская область,15-17,30502,26649,-,-,-,-,-,-,-,-,-,5641,15819,5002,2,185,16,3853
Курская область,18-19 ,19999,16677,-,-,-,-,-,-,2980,1924,1056,10039,3483,141,-,34,9,3322
Курская область,20-24 ,48048,38600,2,8012,707,1788,5517,1178,15297,10048,5249,11492,2424,122,-,73,26,9448
Курская область,25-29 ,55414,43839,434,18204,2974,8111,7119,1432,16850,10876,5974,4739,1885,171,-,124,52,11575
Курская область,30-34 ,82477,65129,837,27197,1970,19180,6047,1466,24571,15650,8921,7586,2836,444,-,192,77,17348
Курская область,35-39 ,88291,70335,1151,28102,1550,21288,5264,1401,27127,17106,10021,8548,3383,437,-,186,67,17956
Курская область,40-44 ,79322,65202,1013,22511,1273,17220,4018,1120,27696,17448,10248,9156,3281,287,-,138,44,14120
Курская область,45-49 ,75830,63817,815,18663,1050,14507,3106,902,30269,19144,11125,9802,3027,200,-,139,38,12013
Курская область,50-54 ,70271,60047,713,14572,771,11725,2076,822,31427,20110,11317,9647,2618,151,-,97,29,10224
Курская область,55-59 ,79255,69280,766,14098,609,11740,1749,731,37896,24281,13615,12401,3110,177,-,101,33,9975
Курская область,60-64 ,91665,80180,901,13805,549,11509,1747,736,43883,28636,15247,16121,4184,460,-,90,28,11485
Курская область,65-69 ,75714,65241,806,10747,384,9018,1345,629,33851,22589,11262,14226,4423,484,-,75,20,10473
Курская область,70 и более,122427,106087,1284,14525,477,12311,1737,866,37183,25456,11727,23706,18246,9971,-,306,43,16340
Липецкая область,6-9,52721,44429,-,-,-,-,-,-,-,-,-,-,-,-,34378,10051,118,8292
Липецкая область,10-14,63238,55163,-,-,-,-,-,-,-,-,-,-,-,43504,10884,775,20,8075
Липецкая область,15-17,34830,30896,-,-,-,-,-,-,-,-,-,6076,18744,5882,-,194,28,3934
Липецкая область,18-19 ,20568,18120,-,-,-,-,-,-,3126,2020,1106,10978,3744,216,-,56,14,2448
Липецкая область,20-24 ,49438,43706,4,9091,722,1498,6871,1319,18527,12157,6370,11752,2550,299,-,164,45,5732
Липецкая область,25-29 ,58213,51919,503,20502,2791,8054,9657,1581,22667,14950,7717,4417,1820,295,-,134,82,6294
Липецкая область,30-34 ,88570,78187,1102,30759,1825,20776,8158,1876,34155,21780,12375,6756,2792,562,-,185,96,10383
Липецкая область,35-39 ,97086,84550,1367,31739,1787,23330,6622,1873,37772,23902,13870,7674,3364,570,-,191,93,12536
Липецкая область,40-44 ,86097,76351,1186,24505,1398,18569,4538,1490,37354,23427,13927,7870,3338,427,-,181,89,9746
Липецкая область,45-49 ,81254,72128,927,19977,1111,15675,3191,1216,38337,23822,14515,8119,3093,326,-,133,66,9126
Липецкая область,50-54 ,74568,67182,862,15564,829,12758,1977,1055,38351,23524,14827,8098,2869,265,-,118,61,7386
Липецкая область,55-59 ,80061,72819,826,14736,731,12308,1697,945,42908,26450,16458,9673,3293,328,-,110,59,7242
Липецкая область,60-64 ,91237,83432,919,14388,588,12095,1705,909,49790,30607,19183,12508,4416,409,-,93,47,7805
Липецкая область,65-69 ,75534,69382,763,11299,418,9350,1531,762,39937,25197,14740,11403,4621,514,-,83,40,6152
Липецкая область,70 и более,126367,116864,1153,14858,502,12408,1948,1007,47990,30597,17393,23342,18506,9660,1,347,95,9503
Московская область,6-9,328787,273954,-,-,-,-,-,-,-,-,-,-,-,-,203951,70003,500,54833
Московская область,10-14,387452,331471,-,-,-,-,-,-,-,-,-,-,-,309698,16824,4949,92,55981
Московская область,15-17,220630,186533,-,-,-,-,-,-,395,-,395,40584,104336,39755,187,1276,55,34097
Московская область,18-19 ,166290,139010,-,-,-,-,-,-,26272,16249,10023,86051,24049,2114,50,474,56,27280
Московская область,20-24 ,494708,385646,135,80507,4454,15533,60520,19208,126425,79396,47029,120738,34271,3420,124,818,153,109062
Московская область,25-29 ,491967,393452,3897,181119,22187,74872,84060,22242,123848,79210,44638,37470,22202,2142,77,455,163,98515
Московская область,30-34 ,776112,621212,9644,293412,21511,183371,88530,29681,196872,125896,70976,54712,32055,4050,133,653,197,154900
Московская область,35-39 ,871580,692160,12223,316922,22652,208136,86134,30559,229070,145166,83904,61392,36364,4832,119,679,168,179420
Московская область,40-44 ,773771,623425,11369,263396,19413,176425,67558,25645,225849,142363,83486,59670,33304,3547,86,559,125,150346
Московская область,45-49 ,652314,528932,9533,201148,14669,137104,49375,20422,213099,134394,78705,54306,27462,2464,76,422,84,123382
Московская область,50-54 ,555671,452787,8247,149349,10953,106765,31631,16283,204069,128191,75878,48505,23953,1983,59,339,67,102884
Московская область,55-59 ,543409,446927,8295,133806,10219,98507,25080,14084,210034,133438,76596,54289,24080,1950,52,337,70,96482
Московская область,60-64 ,570281,478081,8613,125831,9280,94147,22404,13203,232287,148579,83708,69497,26282,2012,35,321,46,92200
Московская область,65-69 ,489141,410245,7462,96812,6722,72144,17946,10372,199130,127934,71196,67268,26723,2168,30,280,62,78896
Московская область,70 и более,814469,681020,11498,127131,8181,95501,23449,13032,278846,178434,100412,145800,83084,20396,100,1133,171,133449
Орловская область,6-9,28938,25613,-,-,-,-,-,-,-,-,-,-,-,-,19781,5832,95,3325
Орловская область,10-14,37480,33882,-,-,-,-,-,-,-,-,-,-,-,26824,6409,649,18,3598
Орловская область,15-17,20352,18171,-,-,-,-,-,-,-,-,-,3884,10334,3821,1,131,9,2181
Орловская область,18-19 ,13550,12225,-,-,-,-,-,-,2004,1341,663,7441,2610,138,-,32,8,1325
Орловская область,20-24 ,31186,26913,-,5410,631,1239,3540,1046,9510,6326,3184,9064,1653,178,-,52,27,4273
Орловская область,25-29 ,37812,31603,386,13772,2695,6299,4778,1160,11572,7663,3909,3120,1314,189,-,90,46,6209
Орловская область,30-34 ,57815,48097,841,20972,1576,15184,4212,1242,17278,11190,6088,5093,2255,307,-,109,43,9718
Орловская область,35-39 ,56407,48424,973,20042,1240,15172,3630,1021,18228,11609,6619,5400,2282,380,-,98,32,7983
Орловская область,40-44 ,53580,46620,1034,16737,999,12930,2808,843,19280,12105,7175,5811,2532,289,-,94,38,6960
Орловская область,45-49 ,50565,44685,836,13566,817,10572,2177,698,20582,13002,7580,6292,2419,213,-,79,25,5880
Орловская область,50-54 ,46780,41773,630,10405,595,8482,1328,630,21329,13596,7733,6517,2021,185,-,56,25,5007
Орловская область,55-59 ,51124,46279,594,9663,489,8048,1126,559,24416,15838,8578,8418,2392,182,-,55,22,4845
Орловская область,60-64 ,59783,54581,724,10014,410,8492,1112,565,28374,18580,9794,11341,3268,244,-,51,22,5202
Орловская область,65-69 ,51271,46812,604,8051,267,6859,925,482,23645,15898,7747,10092,3569,338,-,31,12,4459
Орловская область,70 и более,83601,76509,916,11979,334,10259,1386,658,27301,18684,8617,16598,13026,5852,-,179,37,7092
Рязанская область,6-9,45223,35885,-,-,-,-,-,-,-,-,-,-,-,-,27803,8082,107,9338
Рязанская область,10-14,53490,43757,-,-,-,-,-,-,-,-,-,-,-,34145,8883,729,20,9733
Рязанская область,15-17,29333,24042,-,-,-,-,-,-,-,-,-,4968,15201,3681,1,191,23,5291
Рязанская область,18-19 ,20897,16888,-,-,-,-,-,-,2611,1614,997,10676,3514,30,-,57,20,4009
Рязанская область,20-24 ,47509,37171,31,6776,529,1277,4970,1175,14298,9338,4960,11900,2815,55,-,121,47,10338
Рязанская область,25-29 ,52289,39593,493,15092,1977,6549,6566,1260,15691,9864,5827,4635,2244,56,-,122,58,12696
Рязанская область,30-34 ,84060,61678,1024,23619,1442,16397,5780,1509,24435,15178,9257,7209,3635,94,-,153,59,22382
Рязанская область,35-39 ,90463,65535,1239,24354,1422,17467,5465,1287,26315,16219,10096,8017,4060,104,-,159,58,24928
Рязанская область,40-44 ,83525,61573,1126,19731,1166,14504,4061,1074,26963,16608,10355,8464,3980,67,-,168,55,21952
Рязанская область,45-49 ,79920,60091,947,16306,923,12343,3040,893,29823,18517,11306,8556,3360,63,-,143,57,19829
Рязанская область,50-54 ,74776,56982,844,13483,732,10656,2095,823,30416,18968,11448,8391,2853,62,-,110,48,17794
Рязанская область,55-59 ,78155,60310,887,12296,704,9911,1681,823,32814,20888,11926,9996,3324,54,-,116,39,17845
Рязанская область,60-64 ,91359,72462,1014,12940,703,10420,1817,755,39009,25168,13841,13746,4461,428,-,109,37,18897
Рязанская область,65-69 ,76852,61740,924,10387,471,8378,1538,590,31948,20804,11144,12789,4475,537,-,90,24,15112
Рязанская область,70 и более,139043,111503,1685,15669,618,12539,2512,954,41146,27411,13735,23894,18927,9007,-,221,41,27540
Смоленская область,6-9,35854,30424,-,-,-,-,-,-,-,-,-,-,-,-,23535,6889,99,5430
Смоленская область,10-14,43505,38240,-,-,-,-,-,-,-,-,-,-,-,31263,6357,620,35,5265
Смоленская область,15-17,23449,20579,-,-,-,-,-,-,19,-,19,4054,13048,3293,1,164,40,2870
Смоленская область,18-19 ,16877,14166,-,-,-,-,-,-,2247,1426,821,8842,3005,41,1,30,14,2711
Смоленская область,20-24 ,39220,31436,-,4869,286,1131,3452,846,12459,8076,4383,10762,2312,93,-,95,52,7784
Смоленская область,25-29 ,43468,34245,322,12284,1447,5226,5611,991,13899,9170,4729,4495,2016,132,-,106,58,9223
Смоленская область,30-34 ,69900,55973,716,20240,1059,14016,5165,1202,23030,15192,7838,7061,3315,208,2,199,104,13927
Смоленская область,35-39 ,75682,61379,822,21551,1099,15358,5094,1203,25490,16701,8789,8073,3801,228,1,210,122,14303
Смоленская область,40-44 ,70127,57165,804,17759,1018,12681,4060,967,25749,16711,9038,7938,3571,206,-,171,94,12962
Смоленская область,45-49 ,64073,53170,712,14200,882,10515,2803,789,26542,17521,9021,7684,2986,135,-,122,71,10903
Смоленская область,50-54 ,58524,49344,681,11478,699,8975,1804,727,26934,17734,9200,6918,2361,122,1,122,61,9180
Смоленская область,55-59 ,65024,56162,701,11736,730,9352,1654,710,31231,20753,10478,8650,2900,105,-,129,82,8862
Смоленская область,60-64 ,75950,66332,894,12727,709,10341,1677,660,36188,24181,12007,11460,3848,429,-,126,79,9618
Смоленская область,65-69 ,64895,56824,805,10469,471,8507,1491,565,29971,20498,9473,10159,4296,478,-,81,52,8071
Смоленская область,70 и более,102481,88567,1269,13820,574,11313,1933,706,35427,24593,10834,16924,14153,6051,-,217,77,13914
Тамбовская область,6-9,38677,33627,-,-,-,-,-,-,-,-,-,-,-,-,25878,7749,128,5050
Тамбовская область,10-14,46506,42724,-,-,-,-,-,-,-,-,-,-,-,33602,8460,662,20,3782
Тамбовская область,15-17,26192,24245,-,-,-,-,-,-,-,-,-,5440,13555,5059,2,189,14,1947
Тамбовская область,18-19 ,17540,15737,-,-,-,-,-,-,3054,2182,872,9040,3274,318,-,51,9,1803
