federal_district,year,male,agegroup,population
г. Москва,2018,0,18-34,1434032
г. Москва,2018,0,35-49,1521662
г. Москва,2018,0,50-64,1435712
г. Москва,2018,0,65+,1324402
г. Москва,2021,0,18-34,1237742
г. Москва,2021,0,35-49,1629486
г. Москва,2021,0,50-64,1444222
г. Москва,2021,0,65+,1432415
Северо-Западный ФО,2018,0,18-34,889743
Северо-Западный ФО,2018,0,35-49,946194
Северо-Западный ФО,2018,0,50-64,1049856
Северо-Западный ФО,2018,0,65+,876154
Северо-Западный ФО,2021,0,18-34,813392
Северо-Западный ФО,2021,0,35-49,991294
Северо-Западный ФО,2021,0,50-64,978407
Северо-Западный ФО,2021,0,65+,951852
г. Санкт-Петербург,2018,0,18-34,672184
г. Санкт-Петербург,2018,0,35-49,609913
г. Санкт-Петербург,2018,0,50-64,616620
г. Санкт-Петербург,2018,0,65+,593943
г. Санкт-Петербург,2021,0,18-34,585723
г. Санкт-Петербург,2021,0,35-49,659310
г. Санкт-Петербург,2021,0,50-64,597503
г. Санкт-Петербург,2021,0,65+,637570
Южный ФО,2018,0,18-34,1853243
Южный ФО,2018,0,35-49,1776037
Южный ФО,2018,0,50-64,1880161
Южный ФО,2018,0,65+,1707120
Южный ФО,2021,0,18-34,1681511
Южный ФО,2021,0,35-49,1888414
Южный ФО,2021,0,50-64,1807429
Южный ФО,2021,0,65+,1822689
Северо-Кавказский ФО,2018,0,18-34,1347780
Северо-Кавказский ФО,2018,0,35-49,1002665
Северо-Кавказский ФО,2018,0,50-64,908681
Северо-Кавказский ФО,2018,0,65+,607722
Северо-Кавказский ФО,2021,0,18-34,1273491
Северо-Кавказский ФО,2021,0,35-49,1057275
Северо-Кавказский ФО,2021,0,50-64,932204
Северо-Кавказский ФО,2021,0,65+,665197
Приволжский ФО,2018,0,18-34,3297707
Приволжский ФО,2018,0,35-49,3138437
Приволжский ФО,2018,0,50-64,3552856
Приволжский ФО,2018,0,65+,2986005
Приволжский ФО,2021,0,18-34,2951033
Приволжский ФО,2021,0,35-49,3233632
Приволжский ФО,2021,0,50-64,3349898
Приволжский ФО,2021,0,65+,3180298
Уральский ФО,2018,0,18-34,1404604
Уральский ФО,2018,0,35-49,1384479
Уральский ФО,2018,0,50-64,1384599
Уральский ФО,2018,0,65+,1081637
Уральский ФО,2021,0,18-34,1668237
Уральский ФО,2021,0,35-49,1930037
Уральский ФО,2021,0,50-64,1698961
Уральский ФО,2021,0,65+,1409536
Сибирский ФО,2018,0,18-34,1986349
Сибирский ФО,2018,0,35-49,1901788
Сибирский ФО,2018,0,50-64,1939886
Сибирский ФО,2018,0,65+,1554929
Сибирский ФО,2021,0,18-34,1772423
Сибирский ФО,2021,0,35-49,1994863
Сибирский ФО,2021,0,50-64,1808067
Сибирский ФО,2021,0,65+,1682704
Дальневосточный ФО,2018,0,18-34,938877
Дальневосточный ФО,2018,0,35-49,909960
Дальневосточный ФО,2018,0,50-64,864452
Дальневосточный ФО,2018,0,65+,652662
Дальневосточный ФО,2021,0,18-34,847905
Дальневосточный ФО,2021,0,35-49,939662
Дальневосточный ФО,2021,0,50-64,810728
Дальневосточный ФО,2021,0,65+,714175
Центральный ФО,2024,0,18-34,2402148
Центральный ФО,2024,0,35-49,3373159
Центральный ФО,2024,0,50-64,3008034
Центральный ФО,2024,0,65+,3291764
г. Москва,2024,0,18-34,1230092
г. Москва,2024,0,35-49,1684770
г. Москва,2024,0,50-64,1414313
г. Москва,2024,0,65+,1598176
Северо-Западный ФО,2024,0,18-34,727112
Северо-Западный ФО,2024,0,35-49,1043169
Северо-Западный ФО,2024,0,50-64,912078
Северо-Западный ФО,2024,0,65+,984017
г. Санкт-Петербург,2024,0,18-34,552697
г. Санкт-Петербург,2024,0,35-49,750251
г. Санкт-Петербург,2024,0,50-64,632591
г. Санкт-Петербург,2024,0,65+,681926
Южный ФО,2024,0,18-34,1551123
Южный ФО,2024,0,35-49,2036121
Южный ФО,2024,0,50-64,1752796
Южный ФО,2024,0,65+,1867388
Северо-Кавказский ФО,2024,0,18-34,1233590
Северо-Кавказский ФО,2024,0,35-49,1142923
Северо-Кавказский ФО,2024,0,50-64,921153
Северо-Кавказский ФО,2024,0,65+,691529
Приволжский ФО,2024,0,18-34,2590881
Приволжский ФО,2024,0,35-49,3424848
Приволжский ФО,2024,0,50-64,3173070
Приволжский ФО,2024,0,65+,3353867
Уральский ФО,2024,0,18-34,1516442
Уральский ФО,2024,0,35-49,2060591
Уральский ФО,2024,0,50-64,1648400
Уральский ФО,2024,0,65+,1581359
Сибирский ФО,2024,0,18-34,1580745
Сибирский ФО,2024,0,35-49,2077778
Сибирский ФО,2024,0,50-64,1703417
Сибирский ФО,2024,0,65+,1787997
Дальневосточный ФО,2024,0,18-34,780088
Дальневосточный ФО,2024,0,35-49,984179
Дальневосточный ФО,2024,0,50-64,777484
Дальневосточный ФО,2024,0,65+,742685
Новые регионы,2024,0,18-34,1088427.15799133
Новые регионы,2024,0,35-49,1382702.69241259
Новые регионы,2024,0,50-64,1168092.52926685
Новые регионы,2024,0,65+,1172456.62032924
Новые регионы,2024,1,18-34,1341241.60732155
Новые регионы,2024,1,35-49,1564254.27711505
Новые регионы,2024,1,50-64,1152403.93976065
Новые регионы,2024,1,65+,753779.175802752
