region,year,age,sex,population
Чувашская Республика,2018,34,male,9929
Чувашская Республика,2018,35,male,8761
Чувашская Республика,2018,36,male,8702
Чувашская Республика,2018,37,male,8791
Чувашская Республика,2018,38,male,8399
Чувашская Республика,2018,39,male,8417
Чувашская Республика,2018,40,male,8406
Чувашская Республика,2018,41,male,8693
Чувашская Республика,2018,42,male,8576
Чувашская Республика,2018,43,male,8116
Чувашская Республика,2018,44,male,7775
Чувашская Республика,2018,45,male,8018
Чувашская Республика,2018,46,male,7771
Чувашская Республика,2018,47,male,7690
Чувашская Республика,2018,48,male,7870
Чувашская Республика,2018,49,male,7806
Чувашская Республика,2018,50,male,7659
